[14:57:58:950] Project #1: Edge 8 data retrieval is being skipped.
[14:57:58:959] Project #1: Edge 6 Backwards data retrieval started.
[14:57:58:961] Project #1: Edge 6 Forwards data retrieval started.
[14:57:58:962] Project #1: Edge 4 Backwards data retrieval started.
[14:57:58:962] Project #1: Edge 4 Forwards data retrieval started.
[14:57:58:964] Project #1: Edge 3 Backwards data retrieval started.
[14:57:58:965] Project #1: Edge 3 Forwards data retrieval started.
[14:57:58:966] Project #1: Edge 2 Backwards data retrieval started.
[14:57:58:967] Project #1: Edge 2 Forwards data retrieval started.
[14:57:58:969] Project #1: Edge 0 Backwards data retrieval started.
[14:57:58:974] Project #1: Edge 0 Forwards data retrieval started.
[14:57:58:975] Project #1: Edge 17 data retrieval is being skipped.
[14:57:58:975] Project #1: Edge 16 Backwards data retrieval started.
[14:57:58:976] Project #1: Edge 16 Forwards data retrieval started.
[14:57:58:977] Project #1: Edge 15 Backwards data retrieval started.
[14:57:58:979] Project #1: Edge 15 Forwards data retrieval started.
[14:57:58:982] Project #1: Edge 14 Backwards data retrieval started.
[14:57:58:986] Project #1: Edge 14 Forwards data retrieval started.
[14:57:58:993] Project #1: Edge 13 Backwards data retrieval started.
[14:57:58:994] Project #1: Edge 13 Forwards data retrieval started.
[14:57:58:995] Project #1: Edge 12 Backwards data retrieval started.
[14:57:58:996] Project #1: Edge 12 Forwards data retrieval started.
[14:57:58:997] Project #1: Edge 29 data retrieval is being skipped.
[14:57:58:998] Project #1: Edge 28 Backwards data retrieval started.
[14:57:59:008] Project #1: Edge 28 Forwards data retrieval started.
[14:57:59:010] Project #1: Edge 27 Backwards data retrieval started.
[14:57:59:025] Project #1: Edge 24 Forwards data retrieval started.
[14:57:59:029] Project #1: Edge 27 Forwards data retrieval started.
[14:57:59:040] Project #1: Edge 26 Backwards data retrieval started.
[14:57:59:041] Project #1: Edge 24 Backwards data retrieval started.
[14:57:59:042] Project #1: Edge 25 Forwards data retrieval started.
[14:57:59:043] Project #1: Edge 25 Backwards data retrieval started.
[14:57:59:045] Project #1: Edge 26 Forwards data retrieval started.
[14:57:59:051] Project #1: Edge 41 data retrieval is being skipped.
[14:57:59:052] Project #1: Edge 36 Forwards data retrieval started.
[14:57:59:054] Project #1: Edge 36 Backwards data retrieval started.
[14:57:59:055] Project #1: Edge 37 Forwards data retrieval started.
[14:57:59:057] Project #1: Edge 37 Backwards data retrieval started.
[14:57:59:060] Project #1: Edge 38 Forwards data retrieval started.
[14:57:59:061] Project #1: Edge 38 Backwards data retrieval started.
[14:57:59:064] Project #1: Edge 39 Forwards data retrieval started.
[14:57:59:065] Project #1: Edge 40 Forwards data retrieval started.
[14:57:59:069] Project #1: Edge 39 Backwards data retrieval started.
[14:57:59:090] Project #1: Edge 53 data retrieval is being skipped.
[14:57:59:091] Project #1: Edge 48 Forwards data retrieval started.
[14:57:59:094] Project #1: Edge 52 Backwards data retrieval started.
[14:57:59:095] Project #1: Edge 52 Forwards data retrieval started.
[14:57:59:095] Project #1: Edge 48 Backwards data retrieval started.
[14:57:59:097] Project #1: Edge 51 Backwards data retrieval started.
[14:57:59:099] Project #1: Edge 51 Forwards data retrieval started.
[14:57:59:100] Project #1: Edge 50 Backwards data retrieval started.
[14:57:59:102] Project #1: Edge 49 Forwards data retrieval started.
[14:57:59:105] Project #1: Edge 49 Backwards data retrieval started.
[14:57:59:107] Project #1: Edge 50 Forwards data retrieval started.
[14:57:59:123] Project #1: Edge 65 data retrieval is being skipped.
[14:57:59:124] Project #1: Edge 64 Backwards data retrieval started.
[14:57:59:127] Project #1: Edge 64 Forwards data retrieval started.
[14:57:59:129] Project #1: Edge 63 Backwards data retrieval started.
[14:57:59:131] Project #1: Edge 63 Forwards data retrieval started.
[14:57:59:142] Project #1: Edge 62 Backwards data retrieval started.
[14:57:59:149] Project #1: Edge 62 Forwards data retrieval started.
[14:57:59:154] Project #1: Edge 61 Backwards data retrieval started.
[14:57:59:158] Project #1: Edge 60 Forwards data retrieval started.
[14:57:59:160] Project #1: Edge 61 Forwards data retrieval started.
[14:57:59:162] Project #1: Edge 60 Backwards data retrieval started.
[14:57:59:177] Project #1: Edge 77 data retrieval is being skipped.
[14:57:59:179] Project #1: Edge 76 Backwards data retrieval started.
[14:57:59:182] Project #1: Edge 76 Forwards data retrieval started.
[14:57:59:193] Project #1: Edge 72 Forwards data retrieval started.
[14:57:59:195] Project #1: Edge 72 Backwards data retrieval started.
[14:57:59:199] Project #1: Edge 75 Backwards data retrieval started.
[14:57:59:200] Project #1: Edge 73 Forwards data retrieval started.
[14:57:59:202] Project #1: Edge 73 Backwards data retrieval started.
[14:57:59:205] Project #1: Edge 74 Forwards data retrieval started.
[14:57:59:208] Project #1: Edge 74 Backwards data retrieval started.
[14:57:59:209] Project #1: Edge 75 Forwards data retrieval started.
[14:57:59:218] Project #1: Edge 89 data retrieval is being skipped.
[14:57:59:219] Project #1: Edge 84 Forwards data retrieval started.
[14:57:59:226] Project #1: Edge 84 Backwards data retrieval started.
[14:57:59:228] Project #1: Edge 85 Forwards data retrieval started.
[14:57:59:230] Project #1: Edge 85 Backwards data retrieval started.
[14:57:59:233] Project #1: Edge 86 Forwards data retrieval started.
[14:57:59:236] Project #1: Edge 86 Backwards data retrieval started.
[14:57:59:239] Project #1: Edge 87 Forwards data retrieval started.
[14:57:59:240] Project #1: Edge 88 Backwards data retrieval started.
[14:57:59:241] Project #1: Edge 88 Forwards data retrieval started.
[14:57:59:243] Project #1: Edge 87 Backwards data retrieval started.
[14:57:59:260] Project #1: Edge 101 data retrieval is being skipped.
[14:57:59:263] Project #1: Edge 100 Backwards data retrieval started.
[14:57:59:265] Project #1: Edge 100 Forwards data retrieval started.
[14:57:59:266] Project #1: Edge 99 Backwards data retrieval started.
[14:57:59:272] Project #1: Edge 99 Forwards data retrieval started.
[14:57:59:274] Project #1: Edge 98 Backwards data retrieval started.
[14:57:59:277] Project #1: Edge 98 Forwards data retrieval started.
[14:57:59:279] Project #1: Edge 97 Backwards data retrieval started.
[14:57:59:281] Project #1: Edge 97 Forwards data retrieval started.
[14:57:59:285] Project #1: Edge 96 Backwards data retrieval started.
[14:57:59:286] Project #1: Edge 96 Forwards data retrieval started.
[14:57:59:289] Project #1: Edge 107 data retrieval is being skipped.
[14:57:59:292] Project #1: Edge 106 Backwards data retrieval started.
[14:57:59:297] Project #1: Edge 106 Forwards data retrieval started.
[14:57:59:309] Project #1: Edge 102 Forwards data retrieval started.
[14:57:59:313] Project #1: Edge 102 Backwards data retrieval started.
[14:57:59:316] Project #1: Edge 103 Forwards data retrieval started.
[14:57:59:319] Project #1: Edge 103 Backwards data retrieval started.
[14:57:59:348] Project #1: Edge 105 Backwards data retrieval started.
[14:57:59:351] Project #1: Edge 105 Forwards data retrieval started.
[14:57:59:352] Project #1: Edge 104 Backwards data retrieval started.
[14:57:59:353] Project #1: Edge 104 Forwards data retrieval started.
[14:57:59:358] Project #1: Edge 119 data retrieval is being skipped.
[14:57:59:360] Project #1: Edge 114 Forwards data retrieval started.
[14:57:59:361] Project #1: Edge 118 Backwards data retrieval started.
[14:57:59:362] Project #1: Edge 114 Backwards data retrieval started.
[14:57:59:363] Project #1: Edge 118 Forwards data retrieval started.
[14:57:59:365] Project #1: Edge 117 Backwards data retrieval started.
[14:57:59:366] Project #1: Edge 117 Forwards data retrieval started.
[14:57:59:387] Project #1: Edge 115 Forwards data retrieval started.
[14:57:59:389] Project #1: Edge 115 Backwards data retrieval started.
[14:57:59:392] Project #1: Edge 116 Backwards data retrieval started.
[14:57:59:393] Project #1: Edge 116 Forwards data retrieval started.
[14:57:59:409] Project #1: Edge 137 data retrieval is being skipped.
[14:57:59:418] Project #1: Edge 132 Forwards data retrieval started.
[14:57:59:419] Project #1: Edge 136 Backwards data retrieval started.
[14:57:59:420] Project #1: Edge 136 Forwards data retrieval started.
[14:57:59:428] Project #1: Edge 135 Backwards data retrieval started.
[14:57:59:429] Project #1: Edge 135 Forwards data retrieval started.
[14:57:59:430] Project #1: Edge 134 Backwards data retrieval started.
[14:57:59:431] Project #1: Edge 132 Backwards data retrieval started.
[14:57:59:433] Project #1: Edge 133 Forwards data retrieval started.
[14:57:59:441] Project #1: Edge 134 Forwards data retrieval started.
[14:57:59:445] Project #1: Edge 133 Backwards data retrieval started.
[14:57:59:450] Project #1: Edge 149 data retrieval is being skipped.
[14:57:59:451] Project #1: Edge 148 Backwards data retrieval started.
[14:57:59:452] Project #1: Edge 148 Forwards data retrieval started.
[14:57:59:454] Project #1: Edge 147 Backwards data retrieval started.
[14:57:59:456] Project #1: Edge 144 Forwards data retrieval started.
[14:57:59:459] Project #1: Edge 144 Backwards data retrieval started.
[14:57:59:461] Project #1: Edge 145 Forwards data retrieval started.
[14:57:59:466] Project #1: Edge 147 Forwards data retrieval started.
[14:57:59:468] Project #1: Edge 145 Backwards data retrieval started.
[14:57:59:470] Project #1: Edge 146 Forwards data retrieval started.
[14:57:59:474] Project #1: Edge 146 Backwards data retrieval started.
[14:57:59:485] Project #1: Edge 162 data retrieval is being skipped.
[14:57:59:487] Project #1: Edge 156 Forwards data retrieval started.
[14:57:59:487] Project #1: Edge 157 Forwards data retrieval started.
[14:57:59:489] Project #1: Edge 161 Backwards data retrieval started.
[14:57:59:492] Project #1: Edge 158 Forwards data retrieval started.
[14:57:59:495] Project #1: Edge 158 Backwards data retrieval started.
[14:57:59:496] Project #1: Edge 159 Forwards data retrieval started.
[14:57:59:497] Project #1: Edge 159 Backwards data retrieval started.
[14:57:59:499] Project #1: Edge 160 Forwards data retrieval started.
[14:57:59:503] Project #1: Edge 160 Backwards data retrieval started.
[14:57:59:506] Project #1: Edge 161 Forwards data retrieval started.
[14:57:59:518] Project #1: Edge 168 data retrieval is being skipped.
[14:57:59:519] Project #1: Edge 163 Forwards data retrieval started.
[14:57:59:519] Project #1: Edge 163 Backwards data retrieval started.
[14:57:59:521] Project #1: Edge 167 Backwards data retrieval started.
[14:57:59:524] Project #1: Edge 167 Forwards data retrieval started.
[14:57:59:526] Project #1: Edge 166 Backwards data retrieval started.
[14:57:59:527] Project #1: Edge 166 Forwards data retrieval started.
[14:57:59:529] Project #1: Edge 164 Forwards data retrieval started.
[14:57:59:530] Project #1: Edge 164 Backwards data retrieval started.
[14:57:59:555] Project #1: Edge 165 Backwards data retrieval started.
[14:57:59:558] Project #1: Edge 165 Forwards data retrieval started.
[14:57:59:564] Project #1: Edge 181 data retrieval is being skipped.
